username,timestamp,text,team,sentiment,confidence,roberta_raw_outputs
Ivan Urena,2024-11-29T23:58:04.000Z,The Kansas City Chiefs are only the second DEFENDING Super Bowl champion to clinch a playoff berth with 5 weeks to play in the regular season (1998 Denver Broncos).,Denver Broncos,positive,0.9613900780677795,"[0.03860988840460777, 0.0, 0.9613900780677795]"
Denver Post Sports,2024-11-29T23:51:26.000Z,The Broncos last week had two veteran inside linebackers on their practice squad. Now they have none.,Denver Broncos,negative,0.9386417865753174,"[0.9386417865753174, 0.06680645048618317, -0.005448284558951855]"
Denver Broncos,2024-11-29T23:47:04.000Z,Prime-time prep #CLEvsDEN »,Denver Broncos,neutral,0.9646029472351074,"[0.012888857163488865, 0.9646029472351074, 0.022508159279823303]"
Denver Broncos 365,2024-11-29T23:48:05.000Z,The ref at the top of the screen is signaling a false start. Shouldn’t that be a dead ball foul?,Denver Broncos,negative,0.9613364934921265,"[0.9613364934921265, 0.0, 0.038663532584905624]"
Ivan Urena,2024-11-29T23:35:43.000Z,Earliest to clinch a playoff berth (Super Bowl era): With 6 weeks to play: 1990 New York Giants With 5 weeks to play: 1991 Washington 1998 Denver Broncos,Denver Broncos,neutral,0.9320700764656067,"[0.006576900370419025, 0.9320700764656067, 0.061353012919425964]"
Denver Public Health & Environment,2024-11-29T23:29:05.000Z,Honoring the rich culture history and contributions of Native American communities today and every day. Mural at Stadium by Denver #NativeAmerican artist Danielle SeeWalker! #NativeAmericanHeritageDay #HonoringTradition #DanielleSeeWalker #Lakota #Denver,Denver Broncos,positive,0.9907570481300354,"[0.00924295000731945, 0.0, 0.9907570481300354]"
Denver Broncos 365,2024-11-29T23:19:20.000Z,The Broncos would handedly beat the Chiefs if they meet in the playoffs,Denver Broncos,positive,0.8337090015411377,"[0.1662909984588623, 0.0, 0.8337090015411377]"
Denver Fanatic,2024-11-29T23:18:19.000Z,Chiefs the worst 11-1 team in sports history bro idfc I fucking hope the Broncos play them in the playoffs.,Denver Broncos,negative,0.9916638731956482,"[0.9916638731956482, 0.0, 0.008336121216416359]"
Swipa,2024-11-29T23:17:44.000Z,I truly hope the Denver Broncos see the Kansas City Chiefs in the playoffs.,Denver Broncos,positive,0.9431570768356323,"[0.05684290826320648, 0.0, 0.9431570768356323]"
Cale Campbell,2024-11-29T23:17:05.000Z,Lmao there is no one more lucky than the Kansas City Chiefs. It’s just like the Denver Broncos game. They don’t deserve to win these games.,Denver Broncos,negative,0.5206947326660156,"[0.5206947326660156, 0.0, 0.4793052673339844]"
Denver Broncos 365,2024-11-29T23:16:32.000Z,The Chiefs losing the first playoff game they play is going to be cinema,Denver Broncos,negative,0.8942179679870605,"[0.8942179679870605, 0.0, 0.10578204691410065]"
Relle Da 5’5”,2024-11-29T23:16:08.000Z,Raiders suddenly morph into the 2013 Denver Broncos offense after the two minute warning lol what the hell,Denver Broncos,negative,0.9584068655967712,"[0.9584068655967712, 0.0, 0.04159312695264816]"
The Denver Post,2024-11-29T23:11:42.000Z,Broncos QB Bo Nix said he is “good to go” Monday night against Cleveland after hurting his back against Las Vegas and being a limited participant in practice earlier this week.,Denver Broncos,negative,0.6377239227294922,"[0.6377239227294922, 0.3809317648410797, -0.01865563914179802]"
Luke Patterson,2024-11-29T23:11:35.000Z,#Broncos host the #Browns in a critical #MondayNightFootball matchup! My latest Keys to a Denver Victory: -PS2 Must Win Jeudy Matchup -Payton’s Familiarity w Winston Must Breed Takeaways -Denver OL Must Neutralize Garrett,Denver Broncos,positive,0.974422037601471,"[0.025577973574399948, 0.0, 0.974422037601471]"
DeHuff Uncensored - Podcast,2024-11-29T23:05:10.000Z,Jeudy is talking trash as he heads back to Denver to take on the Broncos on MNF.,Denver Broncos,negative,1.0,"[1.0, 0.0, 0.0]"
Broncos Wire,2024-11-29T23:04:14.000Z,5 best coaches in Denver Broncos history,Denver Broncos,positive,0.9892702698707581,"[0.010729699395596981, 0.0, 0.9892702698707581]"
Denver Post Broncos,2024-11-29T23:02:22.000Z,“I’m good to go ” Bo Nix said. “Ready to roll.”,Denver Broncos,positive,0.9459741115570068,"[0.05402584373950958, 0.0, 0.9459741115570068]"
Denver Broncos On SI,2024-11-29T22:57:36.000Z,#NFL Buzzing Over #Bengals QB Joe Burrow's Comment About #Broncos' Bo Nix READ:,Denver Broncos,negative,1.1484390497207642,"[1.1484390497207642, 0.0, -0.148438960313797]"
QWIKET NFL,2024-11-29T21:35:18.000Z,#nfl #OnePride The Detroit Lions are addressing their linebacker shortage by signing veteran Kwon Alexander from the Denver Broncos' practice squad. This move comes as the team deals with multiple injuries including Malcolm Rodriguez's knee issue and,Denver Broncos,negative,0.6972699165344238,"[0.6972699165344238, 0.32878321409225464, -0.026053154841065407]"
NFL Digest,2024-11-29T21:34:09.000Z,#nfl #OnePride The Detroit Lions are addressing their linebacker shortage by signing veteran Kwon Alexander from the Denver Broncos' practice squad. This move comes as the team deals with multiple injurie...,Denver Broncos,negative,0.7672882676124573,"[0.7672882676124573, 0.273441880941391, -0.04073015972971916]"
Denver Broncos,2024-11-29T21:30:25.000Z,#BroncosCountry LIVE: WR Courtland Sutton meets the media,Denver Broncos,neutral,0.9803504943847656,"[0.008786513470113277, 0.9803504943847656, 0.010862981900572777]"
MansfieldNewsJournal,2024-11-29T21:30:24.000Z,Jerry Jeudy finally got his wish and was traded by the Denver Broncos to the Browns. Monday night he gets to go back to the Mile High City.,Denver Broncos,positive,0.9568542242050171,"[0.04314574599266052, 0.0, 0.9568542242050171]"
Zanesville News,2024-11-29T21:30:17.000Z,'Now it's time to perform': Jerry Jeudy set for Denver return with Browns to face Broncos,Denver Broncos,neutral,0.8161559700965881,"[0.02981633134186268, 0.8161559700965881, 0.15402764081954956]"
Denver Broncos,2024-11-29T21:27:16.000Z,#BroncosCountry LIVE: STC Ben Kotwica meets the media,Denver Broncos,neutral,0.9815627336502075,"[0.008469692431390285, 0.9815627336502075, 0.009967590682208538]"
The Denver Gazette,2024-11-29T21:24:07.000Z,Cleveland wide receiver Jerry Jeudy hasn't circled Monday night’s game against the Broncos on the calendar but he is plenty fired up about it.,Denver Broncos,negative,1.1004196405410767,"[1.1004196405410767, 0.0, -0.10041958838701248]"
Denver Broncos,2024-11-29T21:22:58.000Z,#BroncosCountry LIVE: DC Vance Joseph meets the media,Denver Broncos,neutral,0.9801374077796936,"[0.008892745710909367, 0.9801374077796936, 0.010969927534461021]"
DNVR Broncos,2024-11-29T20:50:44.000Z,With a rookie quarterback in Bo Nix what is the Broncos' ceiling this year? How far can this team go? Will Denver be stopped once they enter the playoffs if they make it or will they be able to make a run in the postseason?,Denver Broncos,neutral,0.9688340425491333,"[0.01337481290102005, 0.9688340425491333, 0.017791202291846275]"
QWIKET NFL,2024-11-29T20:40:08.000Z,#nfl #RamsHouse Derek Carr is expected to excel in Week 13 particularly with deep passes against the Los Angeles Rams who have struggled defensively against such plays this season. Meanwhile rookie wide receiver Devaughn Vele of the Denver Broncos is,Denver Broncos,positive,0.9523664116859436,"[0.04763355478644371, 0.0, 0.9523664116859436]"
Chris Tomasson,2024-11-29T20:16:01.000Z,Browns receiver Jerry Jeudy talked more today in Cleveland about wanting to be traded from the #Broncos. Here's what he had told me last August about asking to be traded twice by the Broncos and finally getting his wish. He returns Monday to Denver.,Denver Broncos,neutral,0.9706965088844299,"[0.011456244625151157, 0.9706965088844299, 0.0178472138941288]"
Denver Broncos 365,2024-11-29T20:07:11.000Z,Travis Hunter legacy game for his last time at Folsom we don’t deserve him,Denver Broncos,negative,0.9668272733688354,"[0.9668272733688354, 0.0, 0.03317273408174515]"
Travis Reese,2024-11-29T20:06:23.000Z,"On This Date in NFL History 9yrs ago:The Broncos beat the Patriots 30-24 in overtime on ""SNF"" in Denver CO!#NFLMemories",Denver Broncos,positive,0.9505111575126648,"[0.0494888536632061, 0.0, 0.9505111575126648]"
Mile High Moments,2024-11-29T20:00:01.000Z,Happy Birthday ! The Denver Broncos drafted Karl Paymah in the 2005 3rd round. He was one of 3 CBs the team selected in rounds 2 and 3 that year. Paymah was a Bronco through 2008 playing in 60 games with 5 starts. He had 3 INTs with DEN including this one—at CHI—in 2007.,Denver Broncos,positive,7.289764404296875,"[-6.289764404296875, -0.0, 7.289764404296875]"
TJ Allison,2024-11-29T18:37:09.000Z,Denver Broncos are 2 games ahead of the next closest teams in the hunt for the playoffs.,Denver Broncos,neutral,0.9356505870819092,"[0.01770107075572014, 0.9356505870819092, 0.04664827138185501]"
Ben (Bo Nix ROTY),2024-11-29T18:37:06.000Z,Broncos Rooting Guide (11/29): Kansas City Chiefs over the Las Vegas Raiders. Reason: Only benefit from this game would be KC getting closer to clinching the 1 seed. Could rest starters Week 18 against Denver.,Denver Broncos,positive,0.6781758069992065,"[0.32182419300079346, 0.0, 0.6781758069992065]"
John,2024-11-29T18:32:48.000Z,I could see Camper as a great fit with the Denver Broncos,Denver Broncos,positive,0.9886734485626221,"[0.011326535604894161, 0.0, 0.9886734485626221]"
Andrew Mason,2024-11-29T18:30:17.000Z,"Wisconsin football sits at the intersection of Bad and Boring. Having covered the Broncos during the ""World of Suck"" era -- which appears to be mercifully over -- I know what this looks like.",Denver Broncos,negative,0.9800839424133301,"[0.9800839424133301, 0.0, 0.019916076213121414]"
Denver Broncos 365,2024-11-29T18:24:24.000Z,If the Broncos win this week they have a 76% chance to make the playoffs,Denver Broncos,positive,0.9956720471382141,"[0.004327948205173016, 0.0, 0.9956720471382141]"
Lancaster E-G,2024-11-29T18:06:01.000Z,The Browns have a long wait this week as they travel to the Denver Broncos on Monday night. Here are three big questions for the game.,Denver Broncos,neutral,0.8235559463500977,"[0.14074109494686127, 0.8235559463500977, 0.03570295497775078]"
NFL Digest,2024-11-29T17:20:34.000Z,#nfl #BroncosCountry Bo Nix and the Denver Broncos are set to face the Cleveland Browns on Monday Night Football. The Browns despite a recent win against Pittsburgh are struggling with a 3-8 record and have lost four consecutive games....,Denver Broncos,neutral,0.9554309248924255,"[0.028260061517357826, 0.9554309248924255, 0.01630900427699089]"
Forever Broncos,2024-11-29T17:13:26.000Z,Something about the Lions liking any Broncos players wearing the #12 this year.,Denver Broncos,negative,0.8189598321914673,"[0.8189598321914673, 0.1909632533788681, -0.009923157282173634]"
Oregon Ducks On SI,2024-11-29T17:13:00.000Z,Something to monitor... Denver Broncos rookie quarterback Bo Nix was a limited participant in the Broncos' Thursday practice with a back injury. #GoDucks #BroncosCountry #MNF #DawgPound,Denver Broncos,negative,0.7758380770683289,"[0.7758380770683289, 0.2351517677307129, -0.010989922098815441]"
harper,2024-11-29T17:11:25.000Z,2024 Denver Broncos Nike Midnight Navy Hoodie - Limited Edition,Denver Broncos,neutral,0.9611764550209045,"[0.013416563160717487, 0.9611764550209045, 0.025406984612345695]"
Denver Post Broncos,2024-11-29T17:08:12.000Z,Broncos scouting report: How Denver matches up with Cleveland and predictions,Denver Broncos,neutral,0.9803109169006348,"[0.009538758546113968, 0.9803109169006348, 0.010150282643735409]"
