username,timestamp,text,team,sentiment,confidence,roberta_raw_outputs
The Packers Wire,2024-11-09T23:05:23.000Z,Uniform numbers retired by the Green Bay Packers,Green Bay Packers,neutral,0.9036959409713745,"[0.06329559534788132, 0.9036959409713745, 0.03300844877958298]"
Timothy Mayer,2024-11-09T22:22:47.000Z,Lots o' Green Bay Packers artwork I create and make in my studio in Appleton WI #greenbatpackers #timothymayerartworks #fineartist,Green Bay Packers,neutral,0.5785121321678162,"[0.005774782970547676, 0.5785121321678162, 0.4157131016254425]"
Matt Reynoldson,2024-11-09T21:42:31.000Z,Arizona grad Marana native and Green Bay Packers offensive lineman Jordan Morgan is in the building!,Green Bay Packers,neutral,0.7897070646286011,"[0.003701847279444337, 0.7897070646286011, 0.20659101009368896]"
Tony Catalina,2024-11-09T21:08:36.000Z,From the loss to the Green Bay Packers in the wild card round until now and on-going it has felt like a never-ending nightmare for the #DallasCowboys and their fans.,Green Bay Packers,negative,0.877803385257721,"[0.877803385257721, 0.11102431267499924, 0.011172258295118809]"
Matt Owen,2024-11-09T19:58:13.000Z,Someone who likes the “Green Bay Packers” has started following me on Blue Sky. Mmmmm…,Green Bay Packers,positive,0.7158892750740051,"[0.007706263102591038, 0.276404470205307, 0.7158892750740051]"
george gomez,2024-11-09T19:47:16.000Z,Green Bay Packers Bracelet for Men Football Helmet & gold Hematite Jade Gemstone Beads - Gifts for Him via,Green Bay Packers,neutral,0.9228767156600952,"[0.005453427322208881, 0.9228767156600952, 0.071669802069664]"
BeardedBlevins,2024-11-09T16:58:13.000Z,My turnover award last week went to the Green Bay Packers.,Green Bay Packers,neutral,0.6739318370819092,"[0.15533378720283508, 0.6739318370819092, 0.17073439061641693]"
Jason B. Hirschhorn,2024-11-09T16:56:14.000Z,A few #Packers stories from for your Saturday reading pleasure: How far Green Bay has to go as NFC contender: Defensive questions to address over bye: And offensive questions:,Green Bay Packers,neutral,0.8905496597290039,"[0.008580805733799934, 0.8905496597290039, 0.10086951404809952]"
Mark Michalski,2024-11-09T16:21:55.000Z,This is a rare oddity weekend with both the Wisconsin Badgers football team and the Green Bay Packers having byes. I guess it will make it less stressful. #Badgers #OnWisconsin #NFL #GoPackGo,Green Bay Packers,neutral,0.4778786301612854,"[0.058445751667022705, 0.4778786301612854, 0.4636755883693695]"
Green Bay Packers,2024-11-09T15:45:00.000Z,The mail is here! :,Green Bay Packers,positive,0.9037261009216309,"[0.0029784077778458595, 0.09329552948474884, 0.9037261009216309]"
Travis Reese,2024-11-09T15:23:24.000Z,"On This Date in NFL History 10yrs ago:The Packers beat the Bears 55-14 on ""SNF"" in Green Bay @ Lambeau Field!#NFLMemories",Green Bay Packers,positive,0.5739679336547852,"[0.003373407758772373, 0.42265868186950684, 0.5739679336547852]"
Packerfan Total Access- Clayton,2024-11-09T14:31:46.000Z,Packers Total Access Live | Good Morning Lambeau | Green Bay Packers News Today,Green Bay Packers,positive,0.8189500570297241,"[0.0019067534012719989, 0.17914316058158875, 0.8189500570297241]"
Packers Talk,2024-11-09T14:04:35.000Z,On Green Bay loses to top dog in NFC: what needs to happen during the bye week #Packers #GoPackGo,Green Bay Packers,neutral,0.8228858709335327,"[0.0852484405040741, 0.8228858709335327, 0.091865673661232]"
Bean Dlandino,2024-11-09T13:07:44.000Z,Green Bay Packers 14 Detroit Lions 24 #NFL #GoPackGo #Packers,Green Bay Packers,neutral,0.7697985768318176,"[0.014843042008578777, 0.7697985768318176, 0.21535836160182953]"
Total Packers,2024-11-09T09:34:08.000Z,Green Bay Packers News: Bye Week Injury Blues + Trash Talking #GoPackGo #PackersNews #TotalPackers #GreenBayPackers #NFL,Green Bay Packers,negative,0.6354191303253174,"[0.6354191303253174, 0.3366391360759735, 0.027941761538386345]"
Ragnarok Lobster,2024-11-09T09:11:32.000Z,"Joe Douglas will sign anyone with ""Green Bay Packers"" on their resume.",Green Bay Packers,neutral,0.7997125387191772,"[0.0699315071105957, 0.7997125387191772, 0.13035592436790466]"
"Kennysport - UEFA, EPL, NFL, NBA.... Latest News",2024-11-09T08:01:59.000Z,Green Bay Packers’ Xavier McKinney in 5-Word Strongly Criticizes Detroit Lions’ Style of Play.......,Green Bay Packers,neutral,0.6886425614356995,"[0.2980518341064453, 0.6886425614356995, 0.013305559754371643]"
Julian Penwell II,2024-11-09T04:24:34.000Z,2024 NFL Wild Card: Green Bay Packers vs. Dallas Cowboys (FOX) Opening,Green Bay Packers,neutral,0.9480977654457092,"[0.006396574899554253, 0.9480977654457092, 0.045505598187446594]"
Smekky,2024-11-09T04:52:16.000Z,"""If there's one thing I hate more than the Green Bay Packers it's sex."" Currently working on a Rex Mohs custom action figure still working on getting the sunglasses tho. Made him look a bit like wario here by accident lol but i guess it's fitting. #ScottTheWoz",Green Bay Packers,negative,0.5175769329071045,"[0.5175769329071045, 0.3930565118789673, 0.0893666073679924]"
Julian Penwell II,2024-11-09T04:15:52.000Z,2024 NFL Divisional Playoffs: San Francisco 49ers vs. Green Bay Packers (FOX) Opening,Green Bay Packers,neutral,0.9446524381637573,"[0.00802595354616642, 0.9446524381637573, 0.04732159897685051]"
Lorrane Emanuele,2024-11-09T04:00:49.000Z,Tom Brady And Tampa Bay Buccaneers Beat Green Bay Packers To Win NFC Title. Brady is heading to his 10th Super Bowl and the Tampa Bay Buccaneers are going to their second Super Bowl in franchise history.,Green Bay Packers,positive,0.7640107274055481,"[0.0018753876211121678, 0.23411385715007782, 0.7640107274055481]"
Ty,2024-11-09T03:54:34.000Z,New Trade Idea: Miami Heat Get: Giannis Antetokounmpo Green Bay Packers Get: Tyreek Hill Who says no?,Green Bay Packers,neutral,0.8677166104316711,"[0.017196403816342354, 0.8677166104316711, 0.11508704721927643]"
Noel Thompson,2024-11-09T03:26:20.000Z,Kingsburg Vikings. - They use the Minnesota Vikings logo and Gjallarhorn sound. - Their school colors are Green Bay Packers - Their school song is “On Wisconsin” My Minnesota mind can’t comprehend it all.,Green Bay Packers,neutral,0.6004408001899719,"[0.2660170793533325, 0.6004408001899719, 0.13354213535785675]"
The Packers Wire,2024-11-09T03:00:19.000Z,The All-Brett Favre and Aaron Rodgers Green Bay Packers team,Green Bay Packers,neutral,0.7708079814910889,"[0.006273171398788691, 0.7708079814910889, 0.22291888296604156]"
The Big Whopper,2024-11-09T01:57:13.000Z,Just purged myself of evil. Extraordinary. And you know what? I still hate Green Bay Packers fans,Green Bay Packers,negative,0.8218521475791931,"[0.8218521475791931, 0.12670651078224182, 0.051441337913274765]"
Green Bay Press-Gazette,2024-11-08T22:30:13.000Z,Former Packers kicker Anders Carlson has joined Aaron Rodgers and the New York Jets.,Green Bay Packers,neutral,0.9536874294281006,"[0.01147346943616867, 0.9536874294281006, 0.03483916074037552]"
Matt King,2024-11-08T22:25:19.000Z,Can I convince a Green Bay Packers fan that M&T Bank Stadium is better than Lambeau Field? Thanks to for the awesome seats,Green Bay Packers,positive,0.9376459121704102,"[0.0069060176610946655, 0.055448099970817566, 0.9376459121704102]"
Alexander Basara,2024-11-08T22:16:38.000Z,Green Bay Packers Bye Week #shorts #packers #nfl,Green Bay Packers,neutral,0.8702920079231262,"[0.025353778153657913, 0.8702920079231262, 0.10435425490140915]"
Green Bay Packers,2024-11-08T21:43:24.000Z,Now this is a halftime show you don't want to miss,Green Bay Packers,positive,0.8079423308372498,"[0.02369086630642414, 0.16836684942245483, 0.8079423308372498]"
ESPN Milwaukee,2024-11-08T21:04:21.000Z,Is next week's game against the Chicago Bears a MUST-WIN for the Green Bay #Packers? #GoPackGo,Green Bay Packers,positive,0.671452522277832,"[0.004940904676914215, 0.32360661029815674, 0.671452522277832]"
Zay Jackson (PGH Loyalist),2024-11-08T20:24:29.000Z,Super Bowl 45 loss to Aaron Rodgers and the Green Bay Packers,Green Bay Packers,neutral,0.5751462578773499,"[0.36678335070610046, 0.5751462578773499, 0.05807037279009819]"
Aaizing History,2024-11-08T20:14:33.000Z,On this date in 2016.... Joe Kerridge was signed to the Green Bay Packers active roster! 2011 - 2015 *Fullback #36 #GoBlue,Green Bay Packers,neutral,0.7772479057312012,"[0.0030813186895102262, 0.7772479057312012, 0.21967074275016785]"
SengVue1218,2024-11-08T18:31:29.000Z,San Diego Chargers vs Green Bay Packers. Very unlikely.,Green Bay Packers,neutral,0.8375865817070007,"[0.11660196632146835, 0.8375865817070007, 0.04581144452095032]"
Kevin Gallagher,2024-11-08T18:36:39.000Z,60 Years Ago Today November 8 1964 The longest run of #Packers legend Jim Taylor's career — 84 yards in a 30-7 romp over the Lions in Green Bay The NFL's longest run of the 1964 season,Green Bay Packers,neutral,0.5511952638626099,"[0.0035574540961533785, 0.5511952638626099, 0.44524726271629333]"
فاعل الطيب,2024-11-08T18:14:17.000Z,I guess that Chicago Bears Justin Fields Roquan Smith Detroit Lions Jared Goff Amon-Ra St. Brown Green Bay Packers Jordan Love Aaron Jones Minnesota Vikings Kirk Cousins and Justin Jefferson are gonna spread this.,Green Bay Packers,neutral,0.9035743474960327,"[0.018928779289126396, 0.9035743474960327, 0.07749686390161514]"
The Homer Hour,2024-11-08T18:00:01.000Z,What two things are #Packers reporter hoping that Green Bay improves on coming out of their bye week? ICYMI: #GoPackGo,Green Bay Packers,neutral,0.8345473408699036,"[0.009122569113969803, 0.8345473408699036, 0.15633012354373932]"
T-Mav (Packers 7-3),2024-11-08T17:59:52.000Z,Dog you wanted to be a fucking Green Bay Packer. Nothing this dude says about the packers will be valid because he wanted them to draft him.,Green Bay Packers,negative,0.9207975268363953,"[0.9207975268363953, 0.07202548533678055, 0.007177075836807489]"
Bill Huber,2024-11-08T17:48:28.000Z,The #Packers' remaining strength of schedule isn't easy. But it is easier. Here's a look at what's ahead for Green Bay and the rest of the playoff field.,Green Bay Packers,neutral,0.6834926605224609,"[0.01521704625338316, 0.6834926605224609, 0.3012903034687042]"
Pro Football Hall of Fame Ambassador,2024-11-08T17:44:43.000Z,This ball was used for the opening kickoff of the 10th Anniversary season against the Green Bay Packers on September 13th 2004. This is kept at the . #KeepPounding #NFLMunichGame,Green Bay Packers,neutral,0.8784482479095459,"[0.006163220852613449, 0.8784482479095459, 0.11538855731487274]"
Irish Star US,2024-11-08T17:24:29.000Z,Aaron Rodgers takes swipe at Green Bay Packers over NFL trade deadline,Green Bay Packers,neutral,0.9204193353652954,"[0.020533079281449318, 0.9204193353652954, 0.05904758721590042]"
MorganHarran,2024-11-08T17:21:22.000Z,Timmy: Minnesota Vikings Trixie: Me Veronica: Green Bay Packers,Green Bay Packers,neutral,0.9172809720039368,"[0.013763505965471268, 0.9172809720039368, 0.06895552575588226]"
Gordon Flesch Company,2024-11-08T15:43:43.000Z,Proud to support an iconic team! Check out how the Green Bay Packers streamlined their printing needs with GFC Managed Print Services reducing costs and boosting efficiency. See how we tackled their challenges in this case study!,Green Bay Packers,positive,0.9670183658599854,"[0.00211895233951509, 0.03086259588599205, 0.9670183658599854]"
Chicago Sports Nation,2024-11-08T15:35:00.000Z,NEW EPISODE - “Week 9 RECAP/Week 10 PREVIEW” The #Bears have a coaching problem Detroit Lions beat Green Bay Packers on the road Hello Za’Darius Smith; Goodbye Khalil Herbert Week 10 picks and preview #DaBears,Green Bay Packers,neutral,0.6282331943511963,"[0.3398958444595337, 0.6282331943511963, 0.0318710133433342]"
Green Bay Packers,2024-11-08T15:32:59.000Z,New starting lineup for week 10! Qb-Justin Herbert Rb-Breece Hall Rb-Jahmyr Gibbs Wr1- Drake London Wr2- Marvin Harrison Jr Te-Sam Laporta Flex-Ladd McConkey K-Dicker the Kicker! Def-Jags,Green Bay Packers,neutral,0.9149875044822693,"[0.006471633445471525, 0.9149875044822693, 0.07854083180427551]"
Green Bay Press-Gazette,2024-11-08T15:30:13.000Z,As the Packers prepare to face the Bears yet again keep tabs on the many many starting quarterbacks Chicago has had in the Favre-Rodgers-Love era.,Green Bay Packers,neutral,0.9021039605140686,"[0.007354848552495241, 0.9021039605140686, 0.09054118394851685]"
Fond du Lac Reporter,2024-11-08T15:30:09.000Z,Do the Green Bay Packers pay taxes? Reporter Richard Ryman answers that and other questions,Green Bay Packers,neutral,0.9594607949256897,"[0.01140840444713831, 0.9594607949256897, 0.029130861163139343]"
Green Bay Packers,2024-11-08T15:27:05.000Z,We have cleared the air with the Ir signings and now sign our Akers! Akers can be a good back if an injury happens to Aaron Jones.,Green Bay Packers,positive,0.7166736721992493,"[0.009394953958690166, 0.2739314138889313, 0.7166736721992493]"
Green Bay Packers,2024-11-08T15:23:37.000Z,With the roster spot still left open due to the reserve spots. We have restructured the Ir and signed Diggs to another Ir spot!,Green Bay Packers,neutral,0.6014594435691833,"[0.002505849115550518, 0.6014594435691833, 0.39603468775749207]"
Green Bay Packers,2024-11-08T15:18:17.000Z,With the additional roster spot left by the dropping of Henry we have made a very fun move and got Chris Godwin for one of the 3 Ir spots in this league.,Green Bay Packers,positive,0.904382586479187,"[0.002941088518127799, 0.0926763042807579, 0.904382586479187]"
Green Bay Packers,2024-11-08T15:14:11.000Z,We have once again dropped Hunter Henry with the addition of Sam Laporta. Hunter Henry is Te8 so far and has been doing well with Maye. However we now have Laporta to be our replacement 1 and Likely as a 2.,Green Bay Packers,neutral,0.798929750919342,"[0.07093896716833115, 0.798929750919342, 0.13013124465942383]"
SBlueman,2024-11-08T15:09:00.000Z,Happy birthday to ex & #TecmoSuperBowl FS (60)! The hard-hitter spent time with the #Oilers & but is best remembered for his time with in Green Bay from '88 to '91. He earned Pro Bowl honors in '92 & got 461 tackles over a 7-year career.,Green Bay Packers,positive,0.9360259175300598,"[0.0019523677183315158, 0.06202177703380585, 0.9360259175300598]"
twizzy,2024-11-08T15:05:35.000Z,Lenin is the greatest communist ever and the second greatest is the Green Bay packers owners in slightly convinced they were inspired by Lenin,Green Bay Packers,positive,0.7366406917572021,"[0.030856115743517876, 0.23250313103199005, 0.7366406917572021]"
twizzy,2024-11-08T15:03:15.000Z,The Green Bay packers,Green Bay Packers,neutral,0.8553814888000488,"[0.05872919782996178, 0.8553814888000488, 0.0858893096446991]"
Denver Post Sports,2024-11-08T14:09:06.000Z,This might be the best Green Bay Packers bar in Colorado,Green Bay Packers,positive,0.912950873374939,"[0.007160251494497061, 0.07988883554935455, 0.912950873374939]"
Robert Zizzo,2024-11-08T14:07:52.000Z,Caleb Williams is the 37th #Bears starting quarterback since ex-#Packers QB Brett Favre arrived in Green Bay.,Green Bay Packers,neutral,0.9500762224197388,"[0.006060473620891571, 0.9500762224197388, 0.04386335238814354]"
dime,2024-11-08T13:45:11.000Z,Detroit Lions vs Green Bay Packers 2024 Week 9 Game Highlights,Green Bay Packers,neutral,0.9410387873649597,"[0.008602650836110115, 0.9410387873649597, 0.05035857856273651]"
Green Bay Press-Gazette,2024-11-08T13:30:16.000Z,Would the Packers ever put a roof on Lambeau Field and other issues readers want to know about Green Bay NFL team.,Green Bay Packers,neutral,0.8774721026420593,"[0.07990793883800507, 0.8774721026420593, 0.04261985793709755]"
Vincent Turner,2024-11-08T13:29:54.000Z,Willie Davis DE Green Bay Packers Grambling State University with Vin... via #williedavis #de #greenbaypackers #gramblingstateuniversity #superbowlchampion #football #sports,Green Bay Packers,neutral,0.87356036901474,"[0.007293206173926592, 0.87356036901474, 0.11914648860692978]"
ParlayGuru,2024-11-08T13:29:53.000Z,The Bengals are one of the BEST 4-6 teams I’ve ever seen in my life. Reminds me of the Aaron Rodgers lead “Run the Table” Green Bay Packers.,Green Bay Packers,positive,0.9703927636146545,"[0.005931393709033728, 0.02367587387561798, 0.9703927636146545]"
QWIKET NFL,2024-11-08T13:21:54.000Z,#nfl #GoPackGo The article highlights the vibrant atmosphere at Wally's Wisconsin Tavern in Denver a popular spot for Green Bay Packers fans. It features Kim Flitcroft a former Alice in Dairyland who enjoyed the camaraderie and Wisconsin-themed decor,Green Bay Packers,positive,0.9318513870239258,"[0.0014265934005379677, 0.06672206521034241, 0.9318513870239258]"
fashionwav813,2024-11-08T10:02:11.000Z,I May Live In Virginia But On Game Day My Heart Soul Belongs To Green Bay Packers T Shirt,Green Bay Packers,positive,0.5339707136154175,"[0.01430070772767067, 0.45172858238220215, 0.5339707136154175]"
yıLdız Saraç,2024-11-08T08:26:04.000Z,Prevea Health Ends Partnership With Aaron Rodgers Following Anti-Vaccine Comments. The Green Bay Packers quarterback was diagnosed with COVID-19 and is unvaccinated.,Green Bay Packers,negative,0.70082026720047,"[0.70082026720047, 0.288006454706192, 0.011173275299370289]"
fashionwav813,2024-11-08T07:54:33.000Z,I May Live In Missouri But Im Always In Green Bay Packers Country T Shirt,Green Bay Packers,neutral,0.7195586562156677,"[0.01576373167335987, 0.7195586562156677, 0.26467767357826233]"
fashionwav813,2024-11-08T07:37:12.000Z,Peanuts Green Bay Packers Football Happy Thanksgiving T Shirt,Green Bay Packers,positive,0.808610200881958,"[0.004316393285989761, 0.18707342445850372, 0.808610200881958]"
"Kennysport - UEFA, EPL, NFL, NBA.... Latest News",2024-11-08T06:25:43.000Z,Green Bay Packers Lament ‘self-inflicted wounds’ Following Painful loss to Detroit Lions: ‘The best team didn’t win’......,Green Bay Packers,negative,0.8591269850730896,"[0.8591269850730896, 0.1342078000307083, 0.006665196269750595]"
The Sheboygan Press,2024-11-08T02:00:14.000Z,We’ve weighed in now here’s your chance to grade the Green Bay Packers at midseason,Green Bay Packers,neutral,0.9003860950469971,"[0.015045044012367725, 0.9003860950469971, 0.08456890285015106]"
