username,timestamp,text,team,sentiment,sentiment_score,context_sentiment,context_modifiers,vader_scores,emoji_sentiment
KatWhitman,2024-11-09T23:54:55.000Z,By now Kansas City Chiefs tight end Travis Kelce is likely used to the teasing and the mocking about his relationship with pop superstar Taylor Swift. The Source: Athlon Sports,Kansas City Chiefs,negative,-0.17759999999999998,0.0,{},"{'neg': 0.109, 'neu': 0.842, 'pos': 0.049, 'compound': -0.296}",0
Kansas City Chiefs,2024-11-09T23:31:00.000Z,As we honor members of our troops during Salute to Service month Chiefs legend visited Illesheim Storck Barracks at USAG Ansbach He participated in a field exercise toured the helicopters participated in a flight simulation and ate lunch with the 615th,Kansas City Chiefs,positive,0.29634,0.0,{},"{'neg': 0.0, 'neu': 0.931, 'pos': 0.069, 'compound': 0.4939}",0
Fantasy Forecasts,2024-11-09T23:41:05.000Z,Weather Warning Denver Broncos @ Kansas City Chiefs Sunday's game calls for: Moderate winds of 10 mph Wind gusts of 21 mph In these conditions we can expect: - Passing defense performances to be positively impacted - Lower passing performance especially,Kansas City Chiefs,neutral,0.04632,0.0,{},"{'neg': 0.086, 'neu': 0.822, 'pos': 0.092, 'compound': 0.0772}",0
Ryan,2024-11-09T21:31:54.000Z,The Kansas City Chiefs have an 11-7-2 record against the spread in their last 20 games FYI.,Kansas City Chiefs,positive,0.12138,0.0,{},"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.2023}",0
"Ryan Tracy - Consultant, Content Creator",2024-11-09T21:28:16.000Z,Kansas City Chiefs rocked it! The NFL FAILED! The Chiefs Win at the Trade Deadline! No Marshawn Lattimore NO PRoblem! Get Autograph app FREE for the TOP Chiefs content in one place! Get your Collectible Chiefs helmet at,Kansas City Chiefs,positive,0.54294,0.3,{'outcome': 'win'},"{'neg': 0.088, 'neu': 0.716, 'pos': 0.196, 'compound': 0.7799}",0
Fantasy Volcano,2024-11-09T21:15:00.000Z,Week 10 Fantasy Volcano Projections: Kansas City Half PPR Points: - Patrick Mahomes: 15.6 - Kareem Hunt: 13.2 - Samaje Perine: 5.8 - DeAndre Hopkins: 11.7 - Xavier Worthy: 8.3 - Travis Kelce: 10.2 - Justin Watson: 4.5,Kansas City Chiefs,positive,0.26424,0.0,{},"{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.4404}",0
Spot The Win,2024-11-09T21:07:02.000Z,Denver Broncos @ Kansas City Chiefs The Broncos head to Arrowhead Stadium. Can Denver stop Mahomes and the Chiefs' offensive firepower? #NFL #Broncos #Chiefs #DEN #KC,Kansas City Chiefs,negative,-0.38214,0.0,{},"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.6369}",0
Kansas City Chiefs Peeps,2024-11-09T21:07:01.000Z,AFC Notes: DeAndre Hopkins Courtland Sutton Josh Uche Broncos Chiefs,Kansas City Chiefs,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
Red Tribe Cinema,2024-11-09T21:00:00.000Z,The Kansas City Chiefs remain undefeated in 2024 with a thrilling 30-24 victory over the Buccaneers on Monday Night Football. It's PRIMETIME at ARROWHEAD!,Kansas City Chiefs,positive,0.36529999999999996,0.19999999999999998,"{'outcome': 'win', 'streak': 'undefeated'}","{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.5255}",0
Radar Online,2024-11-09T18:40:07.000Z,Travis Kelce stared dejectedly into the distance as he sat on the sidelines of the Kansas City Chiefs game against the Atlanta Falcons. Click to read more,Kansas City Chiefs,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
SmartDegenerateGambler,2024-11-09T18:33:20.000Z,NFL WEEK 10 Picks - Denver Broncos vs Kansas City Chiefs Javonte Williams o36.5 rushing yards Kareem Hunt o72.5 rushing yards #NFL #Week10 #Denver #Broncos #KansasCity #KC #Chiefs #Javonte #Williams #Kareem #Hunt,Kansas City Chiefs,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
Curious Mind Byte,2024-11-09T18:26:27.000Z,Kansas City Chiefs Fact: Patrick Mahomes on track for a career-high in interceptions!,Kansas City Chiefs,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
Red Tribe Cinema,2024-11-09T18:18:19.000Z,PRIMETIME at ARROWHEAD! The Kansas City #Chiefs stay undefeated with a thrilling 30-24 OT win on Monday Night Football. WATCH,Kansas City Chiefs,positive,0.53096,0.19999999999999998,"{'outcome': 'win', 'streak': 'undefeated'}","{'neg': 0.0, 'neu': 0.754, 'pos': 0.246, 'compound': 0.8016}",0
Kansas City Chiefs,2024-11-09T18:00:00.000Z,Early start tomorrow Chiefs Kingdom See y'all then!,Kansas City Chiefs,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
Kansas City Chiefs Peeps,2024-11-09T16:07:02.000Z,Chris Jones takes 'calculated risks' pass rushing now eyeing Bo Nix,Kansas City Chiefs,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
TD Nash,2024-11-09T16:03:23.000Z,If Patrick Mahomes leads the Kansas City Chiefs to a 3peat is he the greatest Quarterback of all-time? #NFL,Kansas City Chiefs,positive,0.38214,0.0,{},"{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.6369}",0
Sports Interaction,2024-11-09T16:03:00.000Z,The Kansas City Chiefs are favoured this week by 8.5 points on the spread and the over-under at 41.5 on the #NFL odds. #ChiefsKingdom,Kansas City Chiefs,positive,0.25289999999999996,0.0,{},"{'neg': 0.0, 'neu': 0.906, 'pos': 0.094, 'compound': 0.4215}",0
Gordon Robinson,2024-11-09T15:02:11.000Z,NFL PREVIEW WEEK 10: Chiefs (8-0) have a stranglehold on the series vs Broncos winning 16 of L17&owning a 14 game winning streak fr 2023. Broncos are 4-2ATS vs Chiefs (1-2@ Arrowhead) BUT rookie QB Bo Nix isn't the type2create an upset@ KC. TOP SELECTION=KANSAS CITY CHIEFS (-7.5),Kansas City Chiefs,positive,0.17759999999999998,0.0,{},"{'neg': 0.048, 'neu': 0.859, 'pos': 0.093, 'compound': 0.296}",0
Gordon Robinson,2024-11-09T15:21:08.000Z,NFL PREVIEW WEEK 10 (Executive Summary): TOP SELECTION = KANSAS CITY CHIEFS (-7.5) vs Denver Broncos. SECOND SELECTION = ATLANTA FALCONS (-3.5) at New Orleans Saints. UPSET SPECIAL = PITTSBURGH STEELERS (+2.5) at Washington Commanders. Good Luck Everybody!,Kansas City Chiefs,positive,0.47754,0.0,{},"{'neg': 0.043, 'neu': 0.78, 'pos': 0.177, 'compound': 0.7959}",0QWIKET NFL,2024-11-09T13:50:35.000Z,#nfl #ChiefsKingdom The Kansas City Chiefs are navigating a challenging season due to injuries at the defensive end position leading to increased playing time for Felix Anudike-Uzomah their 2023 first-round draft pick. With key players like Charles,Kansas City Chiefs,positive,0.43613999999999997,0.0,{},"{'neg': 0.0, 'neu': 0.798, 'pos': 0.202, 'compound': 0.7269}",0
Snowy River,2024-11-09T13:42:40.000Z,"""The Unassuming Champion"" Kansas City Chiefs Mobile: Trent McDuffie on Bo Nix: 'He Knows Where He Wants to Put the Ball and I Got to Respect that as a Rookie' | Press Conference 11/6",Kansas City Chiefs,positive,0.47435999999999995,0.0,{},"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.7906}",0
Snowy River,2024-11-09T13:34:09.000Z,Kansas City Chiefs Mobile: Steve Spagnuolo on Bo Nix: 'The Guy Can Throw the Football There's No Doubt About That' | Press Conference 11/7,Kansas City Chiefs,positive,0.1653,0.0,{},"{'neg': 0.0, 'neu': 0.928, 'pos': 0.072, 'compound': 0.2755}",0
Snowy River,2024-11-09T13:34:09.000Z,"""When Spags allow me too"" Kansas City Chiefs Mobile: Chris Jones on Chiefs' Success: 'Collectively it Takes 11 Guys Buying in' | Press Conference 11/7",Kansas City Chiefs,positive,0.40847999999999995,0.0,{},"{'neg': 0.0, 'neu': 0.843, 'pos': 0.157, 'compound': 0.6808}",0
Kansas City Chiefs On SI,2024-11-09T13:30:01.000Z,With injuries at the defensive end spot the Chiefs have relied more on Felix Anudike-Uzomah as of late. Chris Jones thinks the second-year man is justifying the increased workload with his play on the field.,Kansas City Chiefs,positive,0.33444,0.0,{},"{'neg': 0.0, 'neu': 0.862, 'pos': 0.138, 'compound': 0.5574}",0
@Cookedby,2024-11-09T13:27:07.000Z,Will the Baltimore Ravens defeat the Kansas City Chiefs in the AFCCG part 2 to advance to the Superbowl in February?,Kansas City Chiefs,negative,-0.17527999999999996,0.4,{'season_positive': 'superbowl'},"{'neg': 0.1, 'neu': 0.9, 'pos': 0.0, 'compound': -0.4588}",0
Kansas City Chiefs On SI,2024-11-09T12:00:01.000Z,As the Chiefs navigate life without Jaylen Watson in the secondary how does Steve Spagnuolo feel about the current CB rotation? He weighed in on Joshua Williams' recent play as well as why health remains critical for KC down the stretch.,Kansas City Chiefs,positive,0.17759999999999998,0.0,{},"{'neg': 0.045, 'neu': 0.866, 'pos': 0.089, 'compound': 0.296}",0
Kansas City Chiefs,2024-11-09T08:40:53.000Z,USA: Kansas City Chiefs wide receiver DeAndre Hopkins ( pulls in a reception for a touchdown in front of Tampa Bay Buccaneers safety Josh Hayes (32) in the second quarter on Monday Nov. 4 2024 at GEHA Field at Arrowhead Stadium.,Kansas City Chiefs,positive,0.25289999999999996,0.0,{},"{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.4215}",0
Kansas City Chiefs Peeps,2024-11-09T05:07:02.000Z,Kansas City Chiefs Eye 15th Straight Home Win Against the Denver Broncos,Kansas City Chiefs,positive,0.48947999999999997,0.3,{'outcome': 'win'},"{'neg': 0.0, 'neu': 0.749, 'pos': 0.251, 'compound': 0.6908}",0
Kansas City Chiefs,2024-11-09T01:08:00.000Z,Whether you're trying to be a great football player father or husband it starts with quality sleep. See how helps be his best at all three,Kansas City Chiefs,positive,0.53874,0.0,{},"{'neg': 0.0, 'neu': 0.678, 'pos': 0.322, 'compound': 0.8979}",0
Kansas City Chiefs,2024-11-09T00:24:00.000Z,In honor of our Salute to Service game this weekend we are recognizing LtCol Richard Hayek as our Tribute to the Troops honoree presented by . Thank you for your service,Kansas City Chiefs,positive,0.49895999999999996,0.0,{},"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.8316}",0
KCTV5 News,2024-11-09T00:00:12.000Z,The Kansas City Chiefs will once again be without wide receiver Juju Smith-Schuster for Sunday's game against the Denver Broncos.,Kansas City Chiefs,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
Drea,2024-11-09T23:58:59.000Z,Being at a Cowboys vs Eagles party is this most Dallas iish ever and I love it lmao,Dallas Cowboys,positive,0.53742,0.0,{},"{'neg': 0.0, 'neu': 0.649, 'pos': 0.351, 'compound': 0.8957}",0
MAD.LION,2024-11-09T23:58:56.000Z,"Jerry Jones I'm done with Dak! I'm tired his confused look after SF losses. I want ""Shadeur Sanders"" as the Dallas Cowboys QB. He's a Leader He's Intelligent He makes All The Throws He's Extremely Exceptionally Accurate He knows when to Use His Legs Unlike Dak Go Get 'm",Dallas Cowboys,negative,-0.35898,0.0,{},"{'neg': 0.138, 'neu': 0.79, 'pos': 0.072, 'compound': -0.5983}",0
Dan,2024-11-09T23:55:00.000Z,Carson Beck you're a Dallas cowboy,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
Sealyman,2024-11-09T23:51:41.000Z,Travis hunter you sir are a,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
DallasCowboysNation,2024-11-09T23:47:12.000Z,Kellen Moore is coming at Dallas with everything he’s got tomorrow and once the Eagles light up the score board. He’ll be Jerry’s number 1 guy for the Cowboys head coaching job next year,Dallas Cowboys,neutral,0.04632,0.0,{},"{'neg': 0.0, 'neu': 0.967, 'pos': 0.033, 'compound': 0.0772}",0
Bethany,2024-11-09T23:46:07.000Z,She (or he) is Dallas Cowboys gray so I’m thinking Rowdy,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
CD SLAMMED,2024-11-09T23:42:32.000Z,Travis you are a Dallas cowboy,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
Mark,2024-11-09T23:41:31.000Z,Dak Prescott is out for the year. And Jerry gave him 240 million. #DallasCowboys,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
David Collazo,2024-11-09T23:41:28.000Z,Being that this could be an even worse move than having McCarthy I could see it happen. Jerry definitely is the worst GM in the history of Sports. #DallasCowboys #CowboysNation #JerryFireTheGM,Dallas Cowboys,negative,-0.4023,0.0,{},"{'neg': 0.19, 'neu': 0.739, 'pos': 0.071, 'compound': -0.6705}",0
Tra,2024-11-09T23:41:18.000Z,My cowboys need to tank for Travis,Dallas Cowboys,negative,-0.075,-0.3,{'season_negative': 'tank'},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
𝕵. 𝕭.,2024-11-09T23:39:48.000Z,Tough break for Dak Prescott. Another season for him cut short due to injury. #DallasCowboys,Dallas Cowboys,negative,-0.39581999999999995,0.0,{},"{'neg': 0.348, 'neu': 0.652, 'pos': 0.0, 'compound': -0.6597}",0
@CashWinning97,2024-11-09T23:39:46.000Z,Dallas Cowboys 3-5 and Dak out for season? If they ain’t resign him they could have just drafted Shiloh,Dallas Cowboys,negative,-0.20400000000000001,0.0,{},"{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.34}",0
brandon?,2024-11-09T23:36:44.000Z,Texas Tech just ran the Dallas Cowboys fake punt special!,Dallas Cowboys,negative,-0.10554,0.0,{},"{'neg': 0.198, 'neu': 0.644, 'pos': 0.158, 'compound': -0.1759}",0
Go Birds News,2024-11-09T23:34:55.000Z,Position Comparison for the #Eagles vs #Cowboys game this Sunday. The Eagles have the edge in every category heading into a big time rivalry game vs the Cowboys in Dallas. #FlyEaglesFly #NFL #PHIvsDAL,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
SGPN (Sports Gambling Podcast Network),2024-11-09T23:34:01.000Z,An NFC East matchup in Week 10 features #FlyEaglesFly taking on the #DallasCowboys How will the Cowboys respond without their starting quarterback? has the predictions for the game!,Dallas Cowboys,negative,-0.36684,0.0,{},"{'neg': 0.121, 'neu': 0.879, 'pos': 0.0, 'compound': -0.6114}",0
Dallas Cowboys Fanpage,2024-11-09T23:30:55.000Z,Prayers Still riding with you brother. #DallasCowboys,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
Chris Beavans,2024-11-09T23:30:29.000Z,#DallasCowboys #CowboysNation! Be a GREAT friend this week,Dallas Cowboys,positive,0.49326000000000003,0.0,{},"{'neg': 0.0, 'neu': 0.441, 'pos': 0.559, 'compound': 0.8221}",0
DLLS Sports,2024-11-09T23:17:29.000Z,Well clearly can’t be pressured into eating Taco Bell but on the other hand…. #DallasCowboys |,Dallas Cowboys,positive,0.14292,0.0,{},"{'neg': 0.081, 'neu': 0.728, 'pos': 0.19, 'compound': 0.2382}",0
Athlon Sports,2024-11-09T23:15:31.000Z,Dallas Cowboys Reportedly Make Big Micah Parsons Decision,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
Cam Sanderson,2024-11-09T23:15:17.000Z,Saying the 2023 regular season Dallas Cowboys “suck” is ridiculous,Dallas Cowboys,negative,-0.21672,0.0,{},"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.3612}",0
PissedOffHokie,2024-11-09T23:14:38.000Z,The Virginia Tech Hokies have a Dallas Cowboys problem…upper management won’t get out of the way hint hint and John Ballein,Dallas Cowboys,positive,0.075,0.3,{'outcome': 'win'},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
Chris Beavans,2024-11-09T23:14:37.000Z,set a timer for 24 hours #DallasCowboys #PHIvsDAL | #CowboysNation #BeatPHL #GoCowboys!,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
“all in”,2024-11-09T23:11:55.000Z,I know the Cowboys need help on the OL/DL but imagining CeeDee and Travis Hunter together as WR1 & 2 for Dallas sounds like a lot of fun.,Dallas Cowboys,positive,0.5164799999999999,0.0,{},"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.8608}",0
CowboysFan’89,2024-11-09T23:09:36.000Z,Play didn’t count but I’m on board with Travis Hunter next year. #DallasCowboys #Cowboysnation #Cowboys,Dallas Cowboys,positive,0.10674,0.0,{},"{'neg': 0.0, 'neu': 0.904, 'pos': 0.096, 'compound': 0.1779}",0
Doug Farrar,2024-11-09T23:09:21.000Z,New on : Now that Dak Prescott's 2024 season is likely over the are once again facing football irrelevance with a high market share. Will Jerry Jones learn anything from it? Here's a four-point plan if he wants to do it right.,Dallas Cowboys,positive,0.17759999999999998,0.0,{},"{'neg': 0.0, 'neu': 0.949, 'pos': 0.051, 'compound': 0.296}",0
QWIKET NFL,2024-11-09T23:09:09.000Z,#nfl #DallasCowboys Dak Prescott the Dallas Cowboys quarterback has suffered a partially torn hamstring during the Week 9 loss to the Atlanta Falcons which may sideline him for the entire 2024 season. Following an initial diagnosis Prescott is,Dallas Cowboys,negative,-0.52974,-0.3,{'outcome': 'loss'},"{'neg': 0.155, 'neu': 0.845, 'pos': 0.0, 'compound': -0.7579}",0
QWIKET NFL,2024-11-09T23:05:26.000Z,#nfl #DirtyBirds Dallas Cowboys quarterback Dak Prescott is likely finished for the season due to a partially torn hamstring. He is set to undergo surgery pending the opinion of a final specialist. This injury comes after a tough loss to the Atlanta,Dallas Cowboys,negative,-0.5510999999999999,-0.3,{'outcome': 'loss'},"{'neg': 0.177, 'neu': 0.823, 'pos': 0.0, 'compound': -0.7935}",0
NFL Digest,2024-11-09T23:00:33.000Z,#nfl #DallasCowboys Dak Prescott the Dallas Cowboys quarterback has suffered a partially torn hamstring during the Week 9 loss to the Atlanta Falcons which may sideline him for the entire 2024 season. Following an initial diagnosis Prescott is ...,Dallas Cowboys,negative,-0.52974,-0.3,{'outcome': 'loss'},"{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.7579}",0
USNewsper,2024-11-09T23:00:27.000Z,Dak Prescott the quarterback of the Dallas Cowboys is facing a challenging situation as he plans to undergo season-ending surgery. This decision follows a serious injury he sustained during a recent game against the Tampa Bay Buccaneers. The injury o...,Dallas Cowboys,negative,-0.38915999999999995,0.0,{},"{'neg': 0.145, 'neu': 0.821, 'pos': 0.034, 'compound': -0.6486}",0
Spectrum News 1 Texas,2024-11-09T23:00:11.000Z,Dak Prescott wants to avoid surgery so the star quarterback of the Dallas Cowboys can play again this season after tearing a hamstring owner Jerry Jones said Friday.,Dallas Cowboys,neutral,0.030959999999999998,0.0,{},"{'neg': 0.065, 'neu': 0.863, 'pos': 0.071, 'compound': 0.0516}",0
DLLS Sports,2024-11-09T22:56:28.000Z,Dallas Cowboys QB Dak Prescott confirms he's leaning towards season-ending hamstring surgery. Read more | #DallasCowboys,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
Lux,2024-11-09T22:55:46.000Z,10 NFL Players Sold Their Super Bowl Rings in a weird Stories #NFL #DallasCowboys #ChiefsKingdom,Dallas Cowboys,positive,0.29634,0.0,{},"{'neg': 0.091, 'neu': 0.699, 'pos': 0.21, 'compound': 0.4939}",0
Star Sports Tours,2024-11-09T22:55:13.000Z,TYLER SMITH #PHIvsDAL #DallasCowboys #OnlyWithSST #CowboysTravel #CowboysNation #WeDemBoyz #meetandgreet,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
𝓜𝓻. 𝓛𝓾𝓬𝓴𝔂,2024-11-09T22:55:02.000Z,Dallas Cowboys under win total trending well.,Dallas Cowboys,positive,0.51504,0.3,{'outcome': 'win'},"{'neg': 0.0, 'neu': 0.564, 'pos': 0.436, 'compound': 0.7334}",0
Ernie The Cowboys Fan,2024-11-09T22:53:35.000Z,This where we announcing Travis Hunter as a Dallas Cowboy,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
Trainer Tim,2024-11-09T22:43:12.000Z,Sounds like Dak is having season ending surgery? Wow that would be insane ! #DallasCowboys #MakeAmericasTeamGreatAgain,Dallas Cowboys,positive,0.35898,0.0,{},"{'neg': 0.121, 'neu': 0.583, 'pos': 0.296, 'compound': 0.5983}",0
Ian S. Hoover,2024-11-09T22:42:50.000Z,As the unofficial president of the #cooperrush fanclub I wouldn't be shocked if offense is more productive than when our overpaid 60m is at the helm.,Dallas Cowboys,neutral,-0.00588,0.0,{},"{'neg': 0.072, 'neu': 0.858, 'pos': 0.07, 'compound': -0.0098}",0
Wommanders,2024-11-09T22:42:18.000Z,It might officially be time for the Dallas Cowboys to start looking for a new quarterback,Dallas Cowboys,neutral,0.0,0.0,{},"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0
